Experiment	SampleID	Bacteria	Treatment	Plate	Well	RNASeq prep well	Description
Invitro	1	C. intestinalis	glucose	1	B2-5	A1	RNASeq1
Invitro	2	C. intestinalis	glucose	1	C2-5	B1	RNASeq2
Invitro	3	C. intestinalis	glucose	1	D2-5	C1	RNASeq3
Invitro	4	C. intestinalis	fructoselysine	2	B2-5	D1	RNASeq4
Invitro	5	C. intestinalis	fructoselysine	2	C2-5	E1	RNASeq5
Invitro	6	C. intestinalis	fructoselysine	2	D2-5	F1	RNASeq6
Invitro	7	C. intestinalis	glucose+fructoselysine	3	B2-5	G1	RNASeq7
Invitro	8	C. intestinalis	glucose+fructoselysine	3	C2-5	H1	RNASeq8
Invitro	9	C. intestinalis	glucose+fructoselysine	3	D2-5	A2	RNASeq9
Invitro	10	C. intestinalis	glucose+lysine	4	B2-5	B2	RNASeq10
Invitro	11	C. intestinalis	glucose+lysine	4	C2-5	C2	RNASeq11
Invitro	12	C. intestinalis	glucose+lysine	4	D2-5	D2	RNASeq12
Invitro	13	C. aerofaciens	glucose	6	B2-5	E2	RNASeq13
Invitro	14	C. aerofaciens	glucose	6	C2-5	F2	RNASeq14
Invitro	15	C. aerofaciens	glucose	6	D2-5	G2	RNASeq15
Invitro	16	C. aerofaciens	fructoselysine	7	B2-5	H2	RNASeq16
Invitro	17	C. aerofaciens	fructoselysine	7	C2-5	A3	RNASeq17
Invitro	18	C. aerofaciens	fructoselysine	7	D2-5	B3	RNASeq18
Invitro	19	C. aerofaciens	glucose+fructoselysine	8	B2-5	C3	RNASeq19
Invitro	20	C. aerofaciens	glucose+fructoselysine	8	C2-5	D3	RNASeq20
Invitro	21	C. aerofaciens	glucose+fructoselysine	8	D2-5	E3	RNASeq21
Invitro	22	C. aerofaciens	glucose+lysine	9	B2-5	F3	RNASeq22
Invitro	23	C. aerofaciens	glucose+lysine	9	C2-5	G3	RNASeq23
Invitro	24	C. aerofaciens	glucose+lysine	9	D2-5	H3	RNASeq24
