population,description,super_population
BiakaPygmy,Biaka Pygmies from Central Africa,Africa
MbutiPygmy,Mbuti Pygmies from Democratic Republic of  Congo,Africa
Mandenka,Mandenka from Senegal ,Africa
Yoruba,Yoruba from Nigeria,Africa
BantuKenya,Bantu speakers from Kenya,Africa
San,San from Namibia,Africa
BantuSouthAfrica,Bantu speakers from South Africa,Africa
Mozabite,Mozabite from Algeria (Mzab) ,Africa
Bedouin,Bedouin nomads from Israel,MiddleEast
Druze,Druze from Israel Carmel region,MiddleEast
Palestinian,Palestinian from Israel,MiddleEast
Brahui,Brahui from Pakistan,SouthAsia
Balochi,Balochi from Pakistan,SouthAsia
Hazara,Hazara group from Pakistan,SouthAsia
Makrani,Makrani from Pakistan,SouthAsia
Sindhi,Sindhi from Pakistan,SouthAsia
Pathan,Pathan from Pakistan,SouthAsia
Kalash,Kalash from Pakistan,SouthAsia
Burusho,Burusho from Pakistan,SouthAsia
Han,Han from China,EastAsia
Han-NChina,Han from Northern China,EastAsia
Tujia,Tujia from China,EastAsia
Yi,Yi from China,EastAsia
Miao,Miao from China,EastAsia
Daur,Daur from China,EastAsia
Mongola,Mongola from China,EastAsia
Hezhen,Hezhen from China,EastAsia
Xibo,Xibo from China,EastAsia
Uygur,Uygur from China,EastAsia
Oroqen,Oroqen from China,EastAsia
Dai,Dai from China,EastAsia
Lahu,Lahu from China,EastAsia
She,She from China,EastAsia
Tu,Tu from China,EastAsia
Yakut,Yakut from Siberia,EastAsia
Japanese,Japanese from East Asia,EastAsia
Cambodian,Cambodians from Southeast Asia,EastAsia
Papuan,Papuan from New Guinea,Oceania
Melanesian,Melanians from Bougainville ,Oceania
French,French from Europe,Europe
Basque,Basque from Southern Europe,Europe
Sardinian,Sardinian from Europe,Europe
Italian,Italian from Europe,Europe
Orcadian,Orkney Islands from Europe,Europe
Naxi,Naxi from China,EastAsia
Tuscan,Tuscan from Europe,Europe
Adygei,Adygei from Russia Caucasus ,Europe
Russian,Russian from Europe,Europe
Pima,Pima from Mexico,Americas
Maya,Maya from Mexico,Americas
Colombian,Colombians from Piapoco and Curripaco,Americas
Karitiana,Karitiana from Brazil,Americas
Surui,Surui from Brazil,Americas
